year,range,type,nhd_num,count,rate,total_pop
2018,partial,part 1,13,152,30.706016043278428,4950.170018336616
2018,partial,part 1,14,207,27.406705768137545,7552.896059498467
2018,partial,part 1,15,554,38.67389080716718,14324.90986651208
2018,partial,part 1,16,861,51.144356397450586,16834.702020864977
2018,partial,part 1,17,265,73.00061485022785,3630.1064113458337
2018,partial,part 1,18,174,63.689916954310476,2731.9866051140116
2018,partial,part 1,19,390,74.759578175127,5216.722853711279
2018,partial,part 1,20,52,18.564927537313736,2800.980499141995
2018,partial,part 1,21,264,125.8874121924681,2097.1119780933527
2018,partial,part 1,22,149,43.89222499118207,3394.6786709931894
2018,partial,part 1,23,95,60.67525857293429,1565.7123221948182
2018,partial,part 1,24,154,62.223849231874446,2474.9352844779137
2018,partial,part 1,25,381,60.76346057254056,6270.2156264644445
2018,partial,part 1,26,50,22.727320201077767,2199.9954045452714
2018,partial,part 1,27,153,26.18366472116379,5843.337883727667
2018,partial,part 1,28,81,48.20050796350172,1680.4802152984496
2018,partial,part 1,29,99,102.85550838131205,962.5152950776474
2018,partial,part 1,30,277,57.51942744310087,4815.764208953798
2018,partial,part 1,31,169,49.03899831769144,3446.2367869987897
2018,partial,part 1,32,105,57.67480129034807,1820.5524362607878
